Date,trimesters,Week,Ful time Work
17 January 2022,Trimester 1,0,0
24 January 2022,Trimester 1,1,0
31 January 2022,Trimester 1,2,0
07 February 2022,Trimester 1,3,0
14 February 2022,Trimester 1,4,0
21 February 2022,Trimester 1,5,0
28 February 2022,Trimester 1,6,0
07 March 2022,Trimester 1,7,0
14 March 2022,Trimester 1,8,0
21 March 2022,Trimester 1,9,0
28 March 2022,Trimester 1,10,0
04 April 2022,Easter Vacation,11,1
11 April 2022,Easter Vacation,12,1
18 April 2022,Easter Vacation,13,1
25 April 2022,Trimester 1,14,0
02 May 2022,Trimester 1,15,0
09 May 2022,Trimester 1,16,0
16 May 2022,Trimester 1,17,0
23 May 2022,Trimester 1,18,0
30 May 2022,inter-trimester break,19,1
06 June 2022,Summer Vacation,20,1
13 June 2022,Summer Vacation,21,1
20 June 2022,Summer Vacation,22,1
27 June 2022,Summer Vacation,23,1
04 July 2022,Summer Vacation,24,1
11 July 2022,Summer Vacation,25,1
18 July 2022,Summer Vacation,26,1
25 July 2022,Summer Vacation,27,1
01 August 2022,Summer Vacation,28,1
08 August 2022,Summer Vacation,29,1
15 August 2022,Summer Vacation,30,1
22 August 2022,Summer Vacation,31,1
29 August 2022,Summer Vacation,32,1
05 September 2022,Summer Vacation,33,1
12 September 2022,International/Early Arrivals Welcome 2022,34,0
19 September 2022,Welcome/Induction,35,0
26 September 2022,Trimester 2,36,0
03 October 2022,Trimester 2,37,0
10 October 2022,Trimester 2,38,0
17 October 2022,Trimester 2,39,0
24 October 2022,Trimester 2,40,0
31 October 2022,Trimester 2,41,0
07 November 2022,Trimester 2,42,0
14 November 2022,Trimester 2,43,0
21 November 2022,Trimester 2,44,0
28 November 2022,Trimester 2,45,0
05 December 2022,Trimester 2,46,0
12 December 2022,Trimester 2,47,0
19 December 2022,Cristmas Vacation,48,1
26 December 2022,Cristmas Vacation,49,1
02 January 2023,Cristmas Vacation,50,1
09 January 2023,Trimester 2,51,0
16 January 2023,Trimester 2,52,0
